品牌,型号,价格,上市年份,上市月份,操作系统,操作系统版本,CPU品牌,CPU型号,CPU核数,GPU,机身内存,运行内存,最大存储扩展,屏幕尺寸,分辨率,后置摄像头,前置摄像头,链接,备注,店铺,评价
华为（HUAWEI）,EVA-AL00,3188.00,2016年,4月,安卓（Android）,Android 6.0,海思,麒麟955(HUAWEI Kirin 955),八核,Mali T880,32GB ROM,3GB RAM,128GB,5.2英寸,"1920×1080(FHD,1080P)",双1200万像素,800万像素,http://item.jd.com/2600210.html,华为 P9 全网通 3GB+32GB版 流光金 移动联通电信4G手机 双卡双待,华为官方旗舰店,15710
华为（HUAWEI）,华为 TAG-AL00,1199.00,2015年,,,Android 5.1,联发科（MTK),MT6753T Cortex-A53,,,16GB ROM,2GB RAM,128GB,5.0英寸,"1280×720(HD,720P) ",1300万像素,500万像素,http://item.jd.com/2249594.html,华为 畅享5S 金色 移动联通电信4G手机 双卡双待,华为官方旗舰店,86877
华为（HUAWEI）,PE-TL20,1399.00,2014年,12月,,Android 4.4,海思,Hisilicon Kirin 925,八核,ARM Mali 628-MP4,16GB ROM,3GB RAM,,5.5英寸,"1920×1080(FHD,1080P)",双800万像素,800万像素,http://item.jd.com/1307713.html,荣耀 6 Plus (PE-TL20) 3GB+16GB内存版 白色 移动4G手机 双卡双待双通,荣耀官方旗舰店,409535
华为（HUAWEI）,P9 PLUS,3988.00,2016年,4月,安卓（Android）,Android 6.0,海思,华为麒麟 955(HUAWEI Kirin 955),八核,Mali T880,64GB ROM,4GB RAM,,5.5英寸,"1920×1080(FHD,1080P)",双1200万像素,800万像素,http://item.jd.com/2600240.html,华为 P9 plus 64GB 琥珀金 移动联通电信4G手机 双卡双待,华为官方旗舰店,2685
华为（HUAWEI）,PLK-AL10,2029.00,2015年,,,Android 5.0,海思,Kirin 935,八核,Mali T628 MP4,64GB ROM,3GB RAM,128GB,5.2英寸,"1920×1080(FHD,1080P)",2000万像素,800万像素,http://item.jd.com/1684485.html,【超值套装版】荣耀 7 (PLK-AL10) 3GB+64GB内存版 荣耀金 移动联通电信4G手机 双卡双待双通,荣耀官方旗舰店,327964
华为（HUAWEI）,畅享5,899.00,2015年,,,Android ,联发科（MTK),MT6735,,,16GB ROM,2GB RAM,128GB,5.0英寸,"1280×720(HD,720P) ",1300万像素,500万像素,http://item.jd.com/2022109.html,华为 畅享5 梦幻金 移动联通电信4G手机 双卡双待,华为官方旗舰店,108538
华为（HUAWEI）,ATH-AL00（全网通DM定制版）,1699.00,2015年,,安卓（Android）,Android 5.1,Qualcomm 骁龙,Qualcomm 骁龙 616,八核,Adreno 405,32GB ROM,3GB RAM,32GB,5.2英寸,"1920×1080(FHD,1080P)",1300万像素,其它,http://item.jd.com/2400673.html,荣耀 7i 3GB内存DM定制版 沙滩金 移动联通电信4G手机 双卡双待,荣耀官方旗舰店,71494
华为（HUAWEI）,Mate8  3GB+32GB版 全网通,3199.00,2015年,11月,,华为 EMUI 4.0（兼容Android 6.0）,麒麟,麒麟950,八核,Mali T880,32GB ROM,3GB RAM,128GB,6.0英寸,"1920×1080(FHD,1080P)",1600万像素,800万像素,http://item.jd.com/2174898.html,华为 Mate 8 3GB+32GB版 月光银 移动联通电信4G手机 双卡双待,华为官方旗舰店,63408
华为（HUAWEI）,KIW-TL00H,1049.00,2015年,10月,安卓（Android）,Android 5.1,Qualcomm 骁龙,MSM8939,八核,Adreno 405,16GB ROM,2GB RAM,128GB,5.5英寸,"1920×1080(FHD,1080P)",1300万像素,500万像素,http://item.jd.com/2218500.html,【超值套装版】荣耀 畅玩5X 破晓银 移动4G手机 双卡双待,荣耀官方旗舰店,161218
华为（HUAWEI）,荣耀畅玩4X （移动增强版）,799.00,2015年,6月,安卓（Android）,Android 5.0,海思,海思麒麟620（V8R2）,八核,Mali-450 500MHz  ,8GB ROM,2GB RAM,32GB,5.5英寸,"1280×720(HD,720P)",1300万像素，背照式摄像头，F2.0光圈，,"500万像素, 支持炯炯自拍，全景自拍",http://item.jd.com/1617039.html,华为 荣耀 畅玩4X 白色 移动4G手机 双卡双待,荣耀官方旗舰店,408956
